hotel_name,location,GPS,link,rating,rating_desc,reviews,description
Hôtel La Diligence,Le Brignon,"3.84820818901062,44.9445678990097",booking.com//hotel/fr/ha-tel-la-diligence.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,2",Très bien,368 expériences vécues,"Situé à 13 km du Puy-en-Velay et à 5 km de la cascade de la Beaume, l'Hôtel La Diligence propose un restaurant régional, une terrasse et des chambres donnant sur les monts du Velay."
Campanile Findrol - Annemasse - Savoie Leman,Fillinges,"6.321355,46.150753",booking.com//hotel/fr/campanile-findrol-savoie-leman.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,6",Superbe,725 expériences vécues,"Situé à Fillinges, le Campanile Findrol - Annemasse - Savoie Leman possède un bar."
Hôtel du Soleil,Aillon-le-Jeune,"6.080131,45.618108",booking.com//hotel/fr/du-soleil-aillon-le-jeune.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,0",Fabuleux,147 expériences vécues,"Situé à Aillon-le-Jeune, l'Hôtel du Soleil propose une connexion Wi-Fi gratuite et offre une vue sur la ville."
Oudoty,Kerlouan,"-4.39180076122284,48.644790836018",booking.com//hotel/fr/oudoty.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,5",Exceptionnel,394 expériences vécues,"Aménagé dans une ferme en pierre, l'Oudoty se trouve à Kerlouan, à 4 km du village de Meneham et à 20 minutes à pied des plages."
Hôtel Restaurant Le Verger De Bischwiller,Bischwiller,"7.84211665391922,48.7784483114041",booking.com//hotel/fr/le-verger-de-bischwiller.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,5",Très bien,186 expériences vécues,"L'hôtel Le Verger De Bischwiller se trouve à Bischwiller, en Alsace. Il propose des chambres confortables pour 1 à 3 personnes ainsi qu'un restaurant traditionnel."
Hotel des Thermes et du Casino,Luc-sur-Mer,"-0.35459004342556,49.3198850620002",booking.com//hotel/fr/des-thermes-et-du-casino.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"7,9",Bien,1 451 expériences vécues,"L’Hotel des Thermes et du Casino vous accueille à Luc-sur-Mer, face à la mer. Cet établissement propose une piscine chauffée et une connexion Wi-Fi gratuite dans les parties communes."
Hotel Les Terres Blanches,Chatou,"2.12836436927319,48.9068835091814",booking.com//hotel/fr/les-terres-blanches.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,4",Très bien,198 expériences vécues,"L’Hotel Les Terres Blanches se trouve à Chatou, à 1 km de la gare RER Le Vésinet-Le Pecq. Une connexion Wi-Fi est disponible gratuitement."
LE CHEMINARD,Feugarolles,"0.371761,44.21284",booking.com//hotel/fr/le-cheminard.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,3",Très bien,207 expériences vécues,"Situé à Feugarolles, à 45 km de Marmande, l'établissement Le Cheminard dispose d'un jardin et d'une connexion Wi-Fi gratuite. Certains logements comprennent un coin salon et/ou une terrasse."
Hôtel Argia,Hasparren,"-1.30695998668671,43.3836006076066",booking.com//hotel/fr/argia.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,3",Fabuleux,603 expériences vécues,"L'hôtel Argia est situé à Hasparren, au pied des montagnes Ursuya et Baigura."
Le Prana - Les Chambres d'Hôtes,Rozérieulles,"6.08245448098569,49.1072116779483",booking.com//hotel/fr/le-prana-les-chambres-d-39-hotes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,1",Très bien,133 expériences vécues,"Situé à Rozérieulles, l'établissement Le Prana - Les Chambres d'Hôtes se trouve à 12 km du centre de Metz."
