temp_min_day0,temp_max_day0,clouds_day0,wind_speed_day_0,pop_day_0,temp_min_day1,temp_max_day1,clouds_day1,wind_speed_day_1,pop_day_1,temp_min_day2,temp_max_day2,clouds_day2,wind_speed_day_2,pop_day_2,temp_min_day3,temp_max_day3,clouds_day3,wind_speed_day_3,pop_day_3,temp_min_day4,temp_max_day4,clouds_day4,wind_speed_day_4,pop_day_4,temp_min_day5,temp_max_day5,clouds_day5,wind_speed_day_5,pop_day_5,temp_min_day6,temp_max_day6,clouds_day6,wind_speed_day_6,pop_day_6,temp_min_day7,temp_max_day7,clouds_day7,wind_speed_day_7,pop_day_7,lat,lon,city
11.43,19.03,45,8.81,0.94,9.56,14.68,44,7.46,1.0,6.54,18.03,59,5.65,0.0,10.8,16.91,100,8.2,1.0,8.47,16.32,100,13.11,1.0,9.57,14.97,77,8.39,1.0,8.2,16.08,84,7.41,1.0,10.48,13.34,60,11.89,1.0,48.6355232,-1.5102571,Mont Saint Michel
12.22,18.25,71,9.45,1.0,10.94,14.32,46,8.34,1.0,8.43,17.3,72,6.44,0.0,12.09,15.7,100,10.51,0.98,9.74,16.68,100,15.19,1.0,10.47,15.02,74,10.42,1.0,9.84,15.76,99,6.41,1.0,11.19,13.69,37,13.29,1.0,48.6454528,-2.015418,St Malo
10.7,19.33,100,7.7,0.83,7.52,14.69,1,8.2,1.0,6.99,17.07,86,6.01,0.0,10.73,17.48,100,8.95,1.0,6.94,15.32,100,14.24,1.0,8.56,14.14,75,10.03,1.0,7.82,16.09,60,6.31,1.0,8.66,11.96,100,12.95,1.0,49.2764624,-0.7024738,Bayeux
11.29,16.76,87,6.97,0.49,10.57,15.22,0,10.15,1.0,8.71,14.23,72,5.94,0.0,10.95,14.42,100,8.49,1.0,9.55,14.09,100,15.79,1.0,10.82,13.06,77,11.02,1.0,9.77,14.17,56,7.39,1.0,9.95,11.7,100,14.18,1.0,49.4938975,0.1079732,Le Havre
10.57,19.57,91,5.82,0.07,7.81,15.27,5,8.13,1.0,6.16,17.3,90,5.24,0.0,9.39,14.19,100,6.58,1.0,8.25,15.38,100,11.9,1.0,9.51,14.77,43,8.03,1.0,7.24,15.25,48,5.29,1.0,9.19,11.85,100,10.46,1.0,49.4404591,1.0939658,Rouen
13.81,19.32,100,4.11,0.0,11.59,17.38,14,6.54,0.99,9.07,17.49,74,3.37,0.0,11.14,18.11,100,5.04,0.89,11.71,17.76,100,10.6,1.0,12.25,17.09,66,7.26,1.0,8.77,16.36,20,5.11,1.0,10.3,12.65,100,10.95,1.0,48.8566969,2.3514616,Paris
10.49,18.92,97,5.68,0.0,8.58,14.55,0,8.88,1.0,6.26,16.18,59,5.44,0.0,9.29,15.49,100,8.51,1.0,8.65,15.28,100,13.78,1.0,9.71,14.65,50,8.55,1.0,7.27,14.71,46,5.96,0.29,9.69,10.65,100,11.21,1.0,49.8941708,2.2956951,Amiens
10.58,19.09,99,5.32,0.0,9.25,14.9,15,8.01,1.0,6.84,15.76,45,6.09,0.0,10.6,14.94,100,7.15,1.0,9.78,14.51,100,12.87,1.0,9.51,15.09,53,9.34,1.0,7.41,15.15,10,5.02,0.34,9.62,11.18,100,9.7,1.0,50.6365654,3.0635282,Lille
10.12,17.49,100,4.17,0.29,9.47,17.32,48,6.22,0.75,5.8,15.28,36,2.06,0.0,5.9,18.29,36,2.91,0.0,11.59,19.47,98,3.72,0.0,10.35,17.6,100,11.08,1.0,7.09,13.16,97,5.76,1.0,5.99,13.33,92,8.82,1.0,48.584614,7.7507127,Strasbourg
6.33,14.44,100,3.33,0.42,5.24,14.32,43,4.89,0.72,2.17,12.96,36,2.22,0.0,3.21,16.28,38,2.06,0.0,9.44,16.61,97,2.85,0.0,6.73,14.68,100,8.71,1.0,2.92,8.53,95,3.62,1.0,3.08,9.26,100,7.15,1.0,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg
9.58,17.6,100,2.54,0.32,8.83,17.54,36,5.9,0.75,5.5,15.78,30,2.27,0.0,6.25,19.6,29,2.46,0.0,12.46,19.65,99,3.41,0.03,9.63,18.46,100,8.91,1.0,6.27,11.93,91,3.38,1.0,6.44,12.78,96,7.87,1.0,48.0777517,7.3579641,Colmar
9.7,17.6,100,2.4,0.34,8.92,17.45,33,5.7,0.75,5.73,15.85,33,2.36,0.0,6.62,19.87,29,2.39,0.0,12.75,19.75,99,3.19,0.03,9.52,18.25,100,9.21,1.0,6.35,11.85,90,2.89,1.0,6.68,12.6,95,7.74,1.0,48.0447968,7.3079618,Eguisheim
9.08,18.08,100,3.34,0.58,9.42,15.75,65,5.73,0.92,4.9,15.08,50,2.31,0.0,5.59,18.4,81,3.51,0.0,10.57,18.45,98,4.44,0.04,9.86,19.3,100,10.19,1.0,7.53,12.74,81,7.61,1.0,8.63,11.92,85,8.9,1.0,47.2380222,6.0243622,Besancon
9.41,17.54,100,3.21,0.01,9.21,17.12,64,6.55,0.56,5.36,15.78,54,2.94,0.0,4.82,18.19,93,3.92,0.0,11.29,18.34,100,5.81,0.35,10.1,16.35,100,9.57,1.0,8.6,13.26,65,6.58,1.0,8.97,11.67,98,9.0,1.0,47.3215806,5.0414701,Dijon
13.28,19.43,100,1.32,0.24,10.93,19.62,5,2.18,0.53,8.4,16.8,23,2.58,0.02,8.21,20.27,69,1.56,0.17,11.5,20.62,55,2.27,0.35,10.36,13.38,100,2.39,1.0,7.24,14.0,27,2.24,1.0,7.74,12.58,79,3.49,1.0,45.8992348,6.1288847,Annecy
